iter	MultiClass
0	2.847428522
1	2.751734418
2	2.714201311
3	2.648303185
4	2.613980212
5	2.570988482
6	2.547797636
7	2.508136293
8	2.456272389
9	2.422367652
10	2.398422792
11	2.368739588
12	2.33850728
13	2.308807399
14	2.289981741
15	2.259114926
16	2.244074192
17	2.228739816
18	2.208166564
19	2.190083771
20	2.174377725
21	2.162757935
22	2.138390305
23	2.120320619
24	2.107614582
25	2.091752905
26	2.078576156
27	2.06311252
28	2.048175553
29	2.030509507
30	2.014149581
31	1.997793956
32	1.983327853
33	1.974600517
34	1.958330578
35	1.949308863
36	1.939945889
37	1.929416679
38	1.916833059
39	1.902813249
40	1.89597699
41	1.886259678
42	1.877647745
43	1.870688267
44	1.862952811
45	1.854905312
46	1.845446418
47	1.839106499
48	1.830833422
49	1.823686425
50	1.817762134
51	1.808364557
52	1.801962351
53	1.796482097
54	1.792238781
55	1.785739845
56	1.780651828
57	1.776491359
58	1.768265649
59	1.764158168
60	1.758845681
61	1.753995594
62	1.744835116
63	1.739325929
64	1.734474158
65	1.727551877
66	1.722638064
67	1.716817965
68	1.713246942
69	1.708655192
70	1.703861085
71	1.697430716
72	1.693792918
73	1.684388277
74	1.679991547
75	1.674933757
76	1.668365337
77	1.662971284
78	1.659472002
79	1.655565947
80	1.649613304
81	1.644497938
82	1.636275236
83	1.630217799
84	1.62481496
85	1.621067094
86	1.616728912
87	1.613238503
88	1.60947904
89	1.605545777
90	1.60246113
91	1.599069626
92	1.596451074
93	1.593922071
94	1.590929281
95	1.586292572
96	1.583459383
97	1.580430046
98	1.575832041
99	1.571163527
