iter	Passed	Remaining
0	8880	879155
1	17943	879236
2	27019	873631
3	35842	860209
4	44571	846851
5	53286	834823
6	62100	825050
7	70848	814758
8	79722	806081
9	88585	797266
10	97365	787776
11	106109	778137
12	114853	768637
13	123765	760273
14	132808	752584
15	141843	744676
16	150664	735596
17	159469	726472
18	168324	717595
19	176930	707722
20	185697	698577
21	194863	690880
22	203867	682511
23	212633	673339
24	221289	663867
25	230102	654905
26	239094	646439
27	247847	637321
28	256941	629062
29	266091	620881
30	274774	611594
31	283417	602261
32	291977	592803
33	300635	583587
34	309342	574493
35	318102	565515
36	326896	556608
37	335726	547764
38	344449	538754
39	353205	529808
40	361886	520762
41	370676	511886
42	379318	502817
43	387990	493806
44	396725	484886
45	405385	475886
46	413997	466847
47	422673	457896
48	431396	449004
49	440121	440121
50	448779	431180
51	457358	422177
52	466211	413433
53	474777	404439
54	483412	395519
55	492030	386595
56	500590	377638
57	509204	368734
58	517859	359868
59	526486	350991
60	535292	342236
61	543931	333377
62	552778	324647
63	561800	316012
64	570648	307272
65	579450	298504
66	588844	290027
67	598346	281575
68	607796	273067
69	617310	264561
70	626277	255803
71	635695	247214
72	644998	238561
73	654491	229956
74	663574	221191
75	672195	212272
76	680974	203408
77	689553	194489
78	698075	185564
79	706723	176680
80	715284	167782
81	723741	158870
82	732147	149957
83	740463	141040
84	748830	132146
85	756913	123218
86	764996	114309
87	773037	105414
88	781105	96541
89	789213	87690
90	797212	78845
91	805289	70025
92	813345	61219
93	821401	52429
94	829426	43654
95	837454	34893
96	845587	26152
97	853796	17424
98	862098	8708
99	870057	0
